Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART, 38 689
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART, 10 182
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART, 28 507
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,329
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#),4772
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART,4749
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,23
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Adults and children known to be on ART 12 months after starting (%),Adults and children known to be on ART 12 months after starting (%),84
Adults and children known to be on ART 12 months after starting (%),Adults known to be on ART 12 months after starting,84
Adults and children known to be on ART 12 months after starting (%),Children known to be on ART 12 months after starting, >95
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%), >95
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),328
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#), <500
Early infant diagnosis (%),Early infant diagnosis (%), >95
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), <100
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected,5600
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 21 000
Sex workers,HIV prevalence (%),6.3
Sex workers,Knowledge of HIV status (%),35.1
Sex workers,Antiretroviral therapy coverage (%),22.5
Sex workers,Condom use (%),83.5
Sex workers,Coverage of HIV prevention programmes (%),40
Sex workers,Active syphilis (%),0.3
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 140 000
Men who have sex with men,HIV prevalence (%),21.6
Men who have sex with men,Knowledge of HIV status (%),43.3
Men who have sex with men,Antiretroviral therapy coverage (%),62.6
Men who have sex with men,Condom use (%),65.4
Men who have sex with men,Coverage of HIV prevention programmes (%),36.7
Men who have sex with men,Active syphilis (%),6
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#), 120 000
People who inject drugs,HIV prevalence (%),13.5
People who inject drugs,Knowledge of HIV status (%),38.9
People who inject drugs,Antiretroviral therapy coverage (%),34.6
People who inject drugs,Condom use (%),25.7
People who inject drugs,Coverage of HIV prevention programmes (%),1.4
People who inject drugs,Safe injecting practices (%),79.5
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),13.665
People who inject drugs,Coverage of opioid substitution therapy,83
People who inject drugs,Hepatitis B and coinfection with HIV (%),0.7
People who inject drugs,Hepatitis C and coinfection with HIV (%),1.8
Prisoners,Prisoners,
Prisoners,HIV prevalence (%),0.11
Prisoners,HIV prevention programmes in prisons: prisoners receiving opioid substitution therapy (#),237
Prisoners,Prevalence of TB infection among prisoners (%),0.08
Prisoners,Prevalence of hepatitis C infection among prisoners (%),0.05
Transgender people,Transgender people,
Transgender people,Population size estimate (#), 24 000
Transgender people,HIV prevalence (%),10.9
Transgender people,Knowledge of HIV status (%),43
Transgender people,Antiretroviral therapy coverage (%),34
Transgender people,Condom use (%),78.2
Transgender people,Coverage of HIV prevention programmes (%),57.9
Young people,Young people,
Young people,Knowledge about HIV prevention among young people aged 15-24,41.4
Young people,Knowledge about HIV prevention among young women aged 15-24,41.1
Young people,Knowledge about HIV prevention among young men aged 15-24,41.8
HIV expenditure,HIV expenditure,
HIV expenditure,Total country-reported HIV expenditure (USD), 36 900 000
HIV expenditure,HIV expenditure from domestic public sources (USD), 35 100 000
HIV expenditure,HIV expenditure from domestic private sources (USD), 720 000
HIV expenditure,HIV expenditure from international sources (USD), 1 100 000
Hepatitis and HIV,Hepatitis and HIV,
Hepatitis and HIV,Hepatitis B testing,62.4
Hepatitis and HIV,Hepatitis C testing,69.4
