Epidemic transition metrics,Incidence:mortality ratio,0.34
HIV testing and treatment cascade,HIV testing and treatment cascade,
HIV testing and treatment cascade,People living with HIV who know their status, 59 000
HIV testing and treatment cascade,Percent of people living with HIV who know their status,88
HIV testing and treatment cascade,People living with HIV who have suppressed viral loads, 56 000
HIV testing and treatment cascade,Percent of people living with HIV who have suppressed viral loads,83
Antiretroviral therapy (ART),Antiretroviral therapy (ART),
Coverage of adults and children receiving ART (%),Coverage of adults and children receiving ART (%),87
Coverage of adults and children receiving ART (%),Adults aged 15 and over receiving ART,86
Coverage of adults and children receiving ART (%),Women aged 15 and over receiving ART,88
Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,84
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART, >95
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#), 58 516
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART, 55 108
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART, 29 986
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART, 25 122
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,3408
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#),3896
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART,3582
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,314
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Adults and children known to be on ART 12 months after starting (%),Adults and children known to be on ART 12 months after starting (%),90
Adults and children known to be on ART 12 months after starting (%),Adults known to be on ART 12 months after starting,90
Adults and children known to be on ART 12 months after starting (%),Children known to be on ART 12 months after starting,91
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%), >95
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),760
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#), <1000
Early infant diagnosis (%),Early infant diagnosis (%),64
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), <200
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected, 17 000
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 34 000
Sex workers,Antiretroviral therapy coverage (%),82.8
Sex workers,Condom use (%),88.8
Sex workers,Condoms distributed through prevention programmes (#),8
Sex workers,Active syphilis (%),0.7
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 20 000
Men who have sex with men,HIV prevalence (%),2.3
Men who have sex with men,Knowledge of HIV status (%),70.4
Men who have sex with men,Antiretroviral therapy coverage (%),95.4
Men who have sex with men,"Prevention Program data""""",
Men who have sex with men,Condom use (%),69.4
Men who have sex with men,Coverage of HIV prevention programmes (%),69.4
Men who have sex with men,Condoms distributed through prevention programmes (#),16
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#),1300
People who inject drugs,HIV prevalence (%),15.2
People who inject drugs,Antiretroviral therapy coverage (%),30.8
People who inject drugs,Condom use (%),8.7
People who inject drugs,Coverage of HIV prevention programmes (%),78
People who inject drugs,Safe injecting practices (%),93.5
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),304.64
People who inject drugs,Coverage of opioid substitution therapy,22.1
Prisoners,Prisoners,
Prisoners,Population size estimate (#), 17 522
Prisoners,Transgender people,
Prisoners,Population size estimate (#),3000
Prisoners,Knowledge of HIV status (%),70.9
Prisoners,Antiretroviral therapy coverage (%),95.1
Prisoners,"Prevention Program data""""",
Prisoners,Condom use (%),62.6
Prisoners,Coverage of HIV prevention programmes (%),72.8
Combination prevention,Combination prevention,
Combination prevention,Condom use at last high-risk sex among adults aged 15 to 49 (%),67.2
Combination prevention,- Condom use at last high-risk sex among women aged 15 to 49 (%),41.5
Combination prevention,- Condom use at last high-risk sex among men aged 15 to 49 (%),72.8
Combination prevention,Percentage of men 15-49 that are circumcised (%),2.1
Stigma and discrimination,Stigma and discrimination,
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Would you buy fresh vegetables from a shopkeeper or vendor if you knew that this person had HIV?,19.4
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Do you think that children living with HIV should be able to attend school with children who are HIV negative?, 
Stigma and discrimination,Percentage of adults (15-49) who responded No to both questions, 
Gender,Gender,
Gender,Women aged 15-49 who have their demand for family planning satisfied by modern methods (%),56.5
Gender,Women aged 15-19 who have their demand for family planning satisfied by modern methods (%),44.7
Gender,Women aged 20-24 who have their demand for family planning satisfied by modern methods (%),56.1
Gender,Women aged 25-49 who have their demand for family planning satisfied by modern methods (%),56.7
Young people,Young people,
Young people,Knowledge about HIV prevention among young people aged 15-24,39.5
Young people,Knowledge about HIV prevention among young women aged 15-24,37.6
Young people,Knowledge about HIV prevention among young men aged 15-24,45.9
