Coverage of adults and children receiving ART (%),Men aged 15 and over receiving ART,14
Coverage of adults and children receiving ART (%),Children aged 0 to 14 receiving ART,25
Number of adults and children receiving ART (#),Number of adults and children receiving ART (#), 91 369
Number of adults and children receiving ART (#),Adults aged 15 and over receiving ART, 87 882
Number of adults and children receiving ART (#),Women aged 15 and over receiving ART, 31 933
Number of adults and children receiving ART (#),Men aged 15 and over receiving ART, 55 949
Number of adults and children receiving ART (#),Children aged 0 to 14 receiving ART,3487
Adults and children newly-initiating ART (#),Adults and children newly-initiating ART (#), 30 089
Adults and children newly-initiating ART (#),Adults aged 15 and over newly-initiating ART, 29 101
Adults and children newly-initiating ART (#),Children aged 0-14 newly-initiating ART,988
Adults and children newly-initiating ART (#),Women newly-initiating ART, 
Adults and children newly-initiating ART (#),Men newly-initiating ART, 
Adults and children known to be on ART 12 months after starting (%),Adults and children known to be on ART 12 months after starting (%),75
Adults and children known to be on ART 12 months after starting (%),Adults known to be on ART 12 months after starting, 
Adults and children known to be on ART 12 months after starting (%),Children known to be on ART 12 months after starting, 
Elimination of mother-to-child transmission,Elimination of mother-to-child transmission,
Coverage of pregnant women who receive ARV for PMTCT (%),Coverage of pregnant women who receive ARV for PMTCT (%),13
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women who received ARV for PMTCT (#),1536
Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#), 12 000
Early infant diagnosis (%),Early infant diagnosis (%),1
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), <500
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected, 90 000
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 226 791
Sex workers,HIV prevalence (%),5.3
Sex workers,Condom use (%),67.8
Sex workers,Active syphilis (%),3.3
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 754 310
Men who have sex with men,HIV prevalence (%),25.8
Men who have sex with men,Condom use (%),81.03
Men who have sex with men,Active syphilis (%),7.7
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#), 33 492
People who inject drugs,HIV prevalence (%),28.76
People who inject drugs,Condom use (%),46.3
People who inject drugs,Safe injecting practices (%),88.85
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),3.013
People who inject drugs,Coverage of opioid substitution therapy,12
Prisoners,Prisoners,
Prisoners,HIV prevalence (%),1
Prisoners,Antiretroviral therapy coverage (%),0.3
Prisoners,HIV prevention programmes in prisons: condoms distributed (#), 20 637
Prisoners,HIV prevention programmes in prisons: prisoners receiving opioid substitution therapy (#),589
Transgender people,Transgender people,
Transgender people,Population size estimate (#), 38 928
Transgender people,HIV prevalence (%),24.8
Gender,Gender,
Gender,Women aged 15-49 who have their demand for family planning satisfied by modern methods (%),79
Gender,Women aged 15-19 who have their demand for family planning satisfied by modern methods (%), 
Gender,Women aged 20-24 who have their demand for family planning satisfied by modern methods (%), 
Gender,Women aged 25-49 who have their demand for family planning satisfied by modern methods (%), 
Young people,Young people,
Young people,Knowledge about HIV prevention among young people aged 15-24,11.37
Young people,Knowledge about HIV prevention among young women aged 15-24,11.4
Young people,Knowledge about HIV prevention among young men aged 15-24,10.3
