Coverage of pregnant women who receive ARV for PMTCT (%),Pregnant women needing ARV for PMTCT (#),5600
Early infant diagnosis (%),Early infant diagnosis (%),28
New HIV infections averted due to PMTCT (%),New HIV infections averted due to PMTCT (%), <1000
New HIV infections averted due to PMTCT (%),Number of HIV-exposed children who are uninfected, 49 000
Sex workers,Sex workers,
Sex workers,Population size estimate (#), 66 000
Sex workers,HIV prevalence (%),5.4
Sex workers,Knowledge of HIV status (%),44.6
Sex workers,Condom use (%),81.1
Sex workers,Active syphilis (%),11
Men who have sex with men,Men who have sex with men,
Men who have sex with men,Population size estimate (#), 252 000
Men who have sex with men,HIV prevalence (%),6.4
Men who have sex with men,Knowledge of HIV status (%),52.4
Men who have sex with men,Condom use (%),77.1
Men who have sex with men,Active syphilis (%),13.5
People who inject drugs,People who inject drugs,
People who inject drugs,Population size estimate (#), 93 000
People who inject drugs,HIV prevalence (%),34.9
People who inject drugs,Knowledge of HIV status (%),27.9
People who inject drugs,Antiretroviral therapy coverage (%),14.1
People who inject drugs,Condom use (%),21.9
People who inject drugs,Coverage of HIV prevention programmes (%),34.2
People who inject drugs,Safe injecting practices (%),90.8
People who inject drugs,Needles and syringes distributed per person who injects drugs (#),358.47
People who inject drugs,Coverage of opioid substitution therapy,15
People who inject drugs,Hepatitis B and coinfection with HIV (%),3.2
People who inject drugs,Hepatitis C and coinfection with HIV (%),26.8
Prisoners,Prisoners,
Prisoners,HIV prevalence (%),5.6
Combination prevention,Combination prevention,
Combination prevention,Percentage of men 15-49 that are circumcised (%),3.9
Stigma and discrimination,Stigma and discrimination,
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Would you buy fresh vegetables from a shopkeeper or vendor if you knew that this person had HIV?,63.3
Stigma and discrimination,Percentage of adults (15-49) who responded No to the question: Do you think that children living with HIV should be able to attend school with children who are HIV negative?, 
Stigma and discrimination,Percentage of adults (15-49) who responded No to both questions, 
Stigma and discrimination,People who inject drugs: Avoidance of health care because of stigma and discrimination (%),4.4
Gender,Gender,
Gender,Women aged 15-49 who have their demand for family planning satisfied by modern methods (%),74.9
Gender,Women aged 15-19 who have their demand for family planning satisfied by modern methods (%),72.8
Gender,Women aged 20-24 who have their demand for family planning satisfied by modern methods (%),81.2
Gender,Women aged 25-49 who have their demand for family planning satisfied by modern methods (%),74.1
Young people,Young people,
Young people,Knowledge about HIV prevention among young people aged 15-24,16.65
Young people,Knowledge about HIV prevention among young women aged 15-24,16.2
Young people,Knowledge about HIV prevention among young men aged 15-24,17.8
Hepatitis and HIV,Hepatitis and HIV,
Hepatitis and HIV,Hepatitis B testing,29.6
Hepatitis and HIV,Proportion of people coinfected with HIV and HBV receiving combined treatment,74.4
Hepatitis and HIV,Hepatitis C testing,21.8
